step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,113,1,3.612729195333252,0.0,0.43617021276595747
2,194,2,2.9691954171685504,0.0,0.38596491228070173
3,291,3,1.8472214060900296,0.0,0.45652173913043476
4,412,4,3.6146248941085655,0.0,0.4148936170212766
5,589,5,2.0581603653556755,0.0,0.5545454545454546
6,1022,6,2.4864118262899564,0.0,0.5578947368421052
7,1231,7,3.6325359569245346,0.0,0.5414364640883977
8,1392,8,2.3086079877909436,0.0,0.49056603773584906
9,1473,9,2.44897859341903,0.0,0.4117647058823529
10,1538,10,1.8570772914704867,0.0,0.43243243243243246
11,1763,11,2.08020432388675,0.0,0.5508021390374331
12,1860,12,2.632375190691091,0.0,0.42028985507246375
13,2125,13,2.66272929768194,0.0,0.5265486725663717
14,2206,14,2.129821804860229,0.0,0.2777777777777778
15,2311,15,1.5337853498536596,0.0,0.6428571428571429
16,2408,16,1.8382388628611808,0.0,0.6166666666666667
17,2513,17,2.690078435384516,0.0,0.40963855421686746
18,2738,18,2.44039206691501,0.0,0.47904191616766467
19,2875,19,1.15733911687462,0.0,0.7611940298507462
20,3028,20,2.8857646339305516,0.0,0.45038167938931295
21,3165,21,2.609317339094979,0.0,0.44660194174757284
22,3318,22,2.109275567089514,0.0,0.4818181818181818
23,3479,23,1.6151007984369354,0.0,0.5566037735849056
24,3632,24,2.5993111174476735,0.0,0.4715447154471545
25,3721,25,1.974428145901554,0.0,0.5
26,4026,26,2.797329690898393,0.0,0.4581818181818182
27,4323,27,2.0736839664537174,0.0,0.5192307692307693
28,4556,28,1.6944120565934129,0.0,0.5397727272727273
29,4621,29,1.5786926143278834,0.0,0.4375
30,4934,30,1.4686918618739284,0.0,0.5974025974025974
31,5055,31,1.78346407589231,0.0,0.5816326530612245
32,5480,32,2.268282637331622,0.0,0.5485564304461942
33,5609,33,2.2928306605597664,0.0,0.48739495798319327
34,5682,34,1.1677743772152136,0.0,0.6190476190476191
35,5883,35,1.1506132822870274,0.0,0.5666666666666667
36,6028,36,1.3464823917605422,0.0,0.5673076923076923
37,6269,37,1.5346593102061463,0.0,0.6602870813397129
38,6430,38,1.7278983096297307,0.0,0.562962962962963
39,6559,39,1.9949140051840186,0.0,0.5268817204301075
40,6600,40,2.2035361955917323,0.0,0.4166666666666667
41,6929,41,2.107854231615244,0.0,0.4876325088339223
42,7178,42,1.1302241658905496,0.0,0.5935483870967742
43,7243,43,0.9167092778845107,0.0,0.6774193548387096
44,7364,44,1.2921372941347073,0.0,0.6
45,7741,45,1.629551297641138,0.0,0.5923344947735192
46,7870,46,1.733048325894051,0.0,0.5517241379310345
47,7991,47,0.9349835575743733,0.0,0.6617647058823529
48,8320,48,2.045512840761924,0.0,0.5422077922077922
49,8425,49,1.6675913868663617,0.0,0.5217391304347826
50,8490,50,1.077349064981013,0.0,0.6176470588235294
51,8587,51,1.5618663397356187,0.0,0.6027397260273972
52,8900,52,1.5334607457214195,0.0,0.6595744680851063
53,9037,53,1.7029203484507847,0.0,0.4457831325301205
54,9094,54,1.831277166979853,0.0,0.48717948717948717
55,9151,55,2.0983431838319766,0.0,0.26666666666666666
56,9344,56,1.4455777414656161,0.0,0.6441717791411042
57,9457,57,1.4645860347242392,0.0,0.573170731707317
58,9610,58,3.350712706991961,0.0,0.3391304347826087
59,9707,59,1.2170668742993438,0.0,0.6349206349206349
60,10044,60,2.038682066778073,0.0,0.5477707006369427
61,10405,61,1.3646770819456597,0.0,0.6142857142857143
62,10574,62,1.7673511873833956,0.0,0.5895522388059702
63,10639,63,1.1927563844072575,0.0,0.6444444444444445
64,11528,64,1.8851927845443188,0.0,0.5871886120996441
65,11785,65,1.950388882750267,0.0,0.5277777777777778
66,12034,66,1.1290274529898634,0.0,0.7314814814814815
67,12123,67,1.2960096618544776,0.0,0.4
68,12332,68,1.0289994358734336,0.0,0.6774193548387096
69,12445,69,1.3712124518103,0.0,0.6547619047619048
70,12526,70,0.6957756262411131,0.0,0.8035714285714286
71,12615,71,1.179446606999475,0.0,0.5555555555555556
72,12840,72,1.0593753092626086,0.0,0.5886524822695035
73,13097,73,2.1786535881486544,0.0,0.5211864406779662
74,13154,74,0.7282595393026298,0.0,0.7317073170731707
75,13251,75,0.6766265684027166,0.0,0.660377358490566
76,13300,76,0.5219160563677239,0.0,0.8064516129032258
77,13477,77,1.2916264591953952,0.0,0.5923076923076923
78,13582,78,1.5115532572406274,0.0,0.573170731707317
79,13639,79,1.700180847138233,0.0,0.5789473684210527
80,13720,80,1.4094798180383226,0.0,0.5555555555555556
81,13785,81,1.0825860438682229,0.0,0.7142857142857143
82,14114,82,1.2945791945425973,0.0,0.5756097560975609
83,14187,83,1.1739085210456848,0.0,0.4
84,14332,84,1.0967677743822262,0.0,0.6263736263736264
85,14413,85,1.0477727036060533,0.0,0.4666666666666667
86,14462,86,1.4368298641186508,0.0,0.4666666666666667
87,14511,87,1.6483482688266666,0.0,0.5151515151515151
88,14640,88,1.8774171801582362,0.0,0.5145631067961165
89,14873,89,2.4760921560363505,0.0,0.4714285714285714
90,15018,90,1.2873658387172002,0.0,0.5108695652173914
91,15275,91,1.2825716777056642,0.0,0.6349206349206349
92,15588,92,1.2103858601959356,0.0,0.7163636363636363
93,15693,93,1.2410514260910883,0.0,0.6829268292682927
94,15822,94,1.2323338049753327,0.0,0.5764705882352941
95,16159,95,1.2732169150499075,0.0,0.6470588235294118
96,16296,96,1.22050839885554,0.0,0.6095238095238096
97,16393,97,1.9842580000063752,0.0,0.4647887323943662
98,16490,98,1.7812312130310843,0.0,0.40384615384615385
99,16619,99,0.783000391276546,0.0,0.7674418604651163
100,16844,100,1.4044652833164375,0.0,0.6130653266331658
101,17029,101,1.9888094189860313,0.0,0.5165562913907285
102,17206,102,1.1112645272477608,0.0,0.652542372881356
103,17367,103,1.1235687248375616,0.0,0.6147540983606558
104,17480,104,0.6211028808855501,0.0,0.7704918032786885
105,17577,105,1.6585562219688534,0.0,0.5692307692307692
106,17938,106,0.792393300439891,0.0,0.6934673366834171
107,18019,107,1.22135651280795,0.0,0.6851851851851852
108,18204,108,1.249747955827052,0.0,0.5985915492957746
109,18333,109,1.0501412141523723,0.0,0.6590909090909091
110,18654,110,1.198298143175197,0.0,0.7030716723549488
111,18727,111,1.3408401673719181,0.0,0.5510204081632653
112,18864,112,1.891227854984874,0.0,0.5533980582524272
113,19025,113,1.629928299688455,0.0,0.5899280575539568
114,19226,114,0.9163122318687486,0.0,0.6363636363636364
115,19307,115,2.0582348470838916,0.0,0.48214285714285715
116,19444,116,1.082056764458924,0.0,0.6355140186915887
